Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),Thrust Load Cell (mV),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
1.4223172,950,,,,0.00012092,16.29602352,0.053574879,0,0,0.873057429,0,0.376541704,0.069513165,0.04,1,1,1,0,0,0,0,
1.39488165,950,,,,0.000341104,16.29525253,0.053896446,0,0,0.878256406,0,0.376764996,0.057405222,0.06,1,1,1,0,0,0,0,
7.0259225,987.9310345,,,,0.00044185,16.29511471,0.053553813,0,0,0.87266564,0,0.376867165,0.054075122,0.02,1,1,1,0,0,0,0,
12.6266207,1025.862069,,,,0.001685044,16.28898869,0.107834931,0,0,1.756522394,0,0.378127912,0.090694299,0.07,1,1,1,0,0,0,0,
18.28171145,1063.793103,,,,0.01115647,16.27479105,0.223509051,2776,0,3.637562427,0.003068192,0.387733071,0.185627351,0.04,1,1,1,0,0,0,0,
23.80495125,1101.724138,,,,0.025023819,16.25630283,0.37676276,4250,0,6.124766847,0.004086799,0.401796221,0.323571124,0.05,1,1,1,0,0,0,0,
29.423615,1139.655172,,,,0.042854067,16.23008676,0.580562018,5570,0,9.422569697,0.004548561,0.419878225,0.509789949,0.09,1,1,1,0,0,0,0,
34.98139595,1177.586207,,,,0.065397934,16.19622196,0.848048931,6830,0,13.73518068,0.004761886,0.442740402,0.749816354,0.05,1,1,1,0,0,0,0,
40.3017182,1215.517241,,,,0.09191996,16.15155725,1.169231459,8087,0,18.88491171,0.00486771,0.469636908,1.047601109,0.04,1,1,1,0,0,0,0,
45.6617201,1253.448276,,,,0.121231363,16.0955441,1.546152479,9246,0,24.88616868,0.004871646,0.499362176,1.404379322,0.08,1,1,1,0,0,0,0,
51.05604,1291.37931,,,,0.158818905,16.02348688,2.036989042,10477,0,32.63965627,0.004866099,0.537480438,1.853662002,0.04,1,1,1,0,0,0,0,
56.4307101,1329.310345,,,,0.19831528,15.93469102,2.641620818,11643,0,42.09335589,0.004711617,0.577534486,2.409339246,0.09,1,1,1,0,0,0,0,
61.83520885,1367.241379,,,,0.237014412,15.83423428,3.285215608,12704,0,52.01883713,0.004556535,0.616780034,3.034214518,0.04,1,1,1,0,0,0,0,
67.2423865,1405.172414,,,,0.280455838,15.72346154,4.07211921,13765,0,64.02789662,0.004380375,0.660834835,3.776618987,0.13,1,1,1,0,0,0,0,
72.6473972,1443.103448,,,,0.322780271,15.6038099,4.911543277,14662,0,76.6388148,0.004211715,0.703756872,4.597041145,0.05,1,1,1,0,0,0,0,
78.0249967,1481.034483,,,,0.361635686,15.47898483,5.77194501,15584,0,89.3438767,0.00404769,0.743160909,5.443351655,0.02,1,1,1,0,0,0,0,
83.36706285,1518.965517,,,,0.399326611,15.35658159,6.614875844,16336,0,101.581959,0.003931072,0.781384015,6.285228727,0.1,1,1,1,0,0,0,0,
88.7619689,1556.896552,,,,0.437344432,15.21920432,7.521747193,17073,0,114.4750571,0.003820476,0.819938631,7.176865084,0.08,1,1,1,0,0,0,0,
94.1811477,1594.827586,,,,0.47882326,15.06309062,8.592260591,17825,0,129.4261075,0.003699615,0.862003123,8.199389427,0.12,1,1,1,0,0,0,0,
99.5506251,1632.758621,,,,0.52257597,14.89655884,9.804929767,18556,0,146.0595832,0.003577854,0.906373603,9.327791653,0.02,1,1,1,0,0,0,0,
104.9577457,1670.689655,,,,0.566073923,14.72235138,11.01397327,19214,0,162.1517114,0.00349103,0.950485729,10.55248414,0.12,1,1,1,0,0,0,0,
110.3458701,1708.62069,,,,0.609554732,14.53059366,12.33231884,19902,0,179.1960062,0.00340161,0.994580469,11.8292525,0.08,1,1,1,0,0,0,0,
115.7298496,1746.551724,,,,0.651938384,14.33548704,13.71127983,20650,0,196.5579144,0.003316784,1.037562561,13.1892935,0.16,1,1,1,0,0,0,0,
121.1359489,1784.482759,,,,0.694725081,14.13354862,15.15200536,21213,0,214.1514768,0.003244086,1.080953389,14.61632701,0.06,1,1,1,0,0,0,0,
126.509472,1822.413793,,,,0.737433345,13.92124784,16.66095984,21756,0,231.9410969,0.003179406,1.124264676,16.09874819,0.07,1,1,1,0,0,0,0,
131.8961236,1860.344828,,,,0.766627249,13.72577609,18.01767574,22339,0,247.3064539,0.003099915,1.153870785,17.50777363,0.09,1,1,1,0,0,0,0,
137.3928699,1898.275862,,,,0.812140325,13.46826073,19.91486622,22870,0,268.2188967,0.003027919,1.200026487,19.27755335,0.12,1,1,1,0,0,0,0,
142.9524902,1936.206897,,,,0.849882808,13.22604952,21.63215415,23358,0,286.1079859,0.002970476,1.238301879,21.01922391,0.08,1,1,1,0,0,0,0,
148.4554745,1974.137931,,,,0.876539059,13.00901324,23.10748574,23816,0,300.6050006,0.002915915,1.265334504,22.53315272,0.07,1,1,1,0,0,0,0,
153.883186,2012.068966,,,,0.909688393,12.76494136,24.7539662,24219,0,315.9831896,0.002878914,1.298951894,24.14635454,0.1,1,1,1,0,0,0,0,
159.3070906,2050,,,,0.899658479,12.68013707,24.57892705,24106,0,311.6641074,0.002886625,1.288780362,24.55167768,0.08,1,1,1,0,0,0,0,
